id,axis,changes,expected,passed,classification,profile_changed,runtime_changed,sequence,collision_area_delta,forward_extent_delta,root_motion_delta,knockback_delta,failed_contracts
handle_short,handle_length,"{""handle_length"":""short""}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> slam -> bash,-832.0,-8.0,-8.755200000000002,0.0,
handle_long,handle_length,"{""handle_length"":""long""}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> sweep -> slam,4608.0,16.0,10.214399999999998,0.0,
body_short,body_length,"{""body_length"":""short""}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> sweep -> slam,-448.0,-8.0,-8.755200000000002,0.0,
body_long,body_length,"{""body_length"":""long""}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> sweep -> slam,4608.0,16.0,10.214399999999998,79.06961638400003,
grip_two_hand,grip_topology,"{""grip_topology"":""two_hand_handle""}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> sweep -> slam,0.0,0.0,0.0,0.0,
grip_clamp,grip_topology,"{""grip_topology"":""clamp_grip""}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> sweep -> slam,0.0,0.0,0.0,0.0,
grip_handleless_body,grip_mode,"{""grip_topology"":""body_grip"",""handle_length"":""none""}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> slam -> bash,-1088.0,-16.0,-14.105600000000003,-133.25956899199997,
rigidity_semi,rigidity,"{""rigidity"":""semi_rigid""}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> sweep -> slam,192.0,0.0,0.0,0.0,
rigidity_flexible,rigidity,"{""rigidity"":""flexible""}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> sweep -> slam,768.0,0.0,0.0,0.0,
mass_rear,mass_distribution,"{""mass_distribution"":""rear""}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> sweep -> slam,0.0,0.0,0.0,-16.718499071999986,
mass_front,mass_distribution,"{""mass_distribution"":""front""}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> slam -> bash,-576.0,-8.0,0.0,190.38911443200004,
primary_point,contact_surface,"{""contact_surface"":""point""}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,thrust -> sweep -> bash,-28480.0,0.0,0.0,0.0,
primary_edge,contact_surface,"{""contact_surface"":""edge""}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,sweep -> thrust -> slam,-11328.0,0.0,0.0,0.0,
primary_whole_body,contact_surface,"{""contact_surface"":""whole_body""}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,sweep -> spin -> slam,20992.0,-16.0,0.0,148.25553072000002,
secondary_point,secondary_contact_surface,"{""secondary_contact_surface"":""point""}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> thrust -> slam,1728.0,0.0,0.0,9.883702048000032,
secondary_edge,secondary_contact_surface,"{""secondary_contact_surface"":""edge""}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> sweep -> slam,0.0,0.0,0.0,19.767404096000007,
secondary_broad,secondary_contact_surface,"{""secondary_contact_surface"":""broad""}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> sweep -> slam,0.0,0.0,0.0,34.592957168,
secondary_whole_body,secondary_contact_surface,"{""secondary_contact_surface"":""whole_body""}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> sweep -> slam,0.0,0.0,0.0,49.41851023999999,
feature_point,has_point,"{""has_point"":true}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> sweep -> slam,0.0,0.0,0.0,0.0,
feature_edge,has_edge,"{""has_edge"":true}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> sweep -> slam,256.0,0.0,0.0,0.0,
feature_broad_face,has_broad_face,"{""has_broad_face"":true}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> sweep -> slam,4608.0,0.0,0.0,0.0,
feature_barrel,has_barrel,"{""has_barrel"":true}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> sweep -> slam,192.0,8.0,21.279999999999994,0.0,
feature_stock,has_stock,"{""has_stock"":true}",runtime_effect,True,RUNTIME_PROPERTY_PASS,True,True,bash -> sweep -> bash,-12992.0,-16.0,0.0,0.0,
confidence_high,confidence,"{""confidence"":0.95}",invariant,True,INVARIANT_PASS,False,False,bash -> sweep -> slam,0.0,0.0,0.0,0.0,
evidence_changed,evidence_parts,"{""evidence_parts"":[""different anonymous evidence wording""]}",invariant,True,INVARIANT_PASS,False,False,bash -> sweep -> slam,0.0,0.0,0.0,0.0,
